n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, t1, n0, t1, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, t1, n0, t1, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, t1, t1, t1, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, t1, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, t1, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0, n0
