gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg1, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg1, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg1, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg1, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg1, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg1, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
