gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0
wg0, wg0, wg0, wg0, wg0, wg0, wg0, wg0, wg0, wg0, wg0, wg0, wg0, wg0, wg0
ww0, ww1, ww1, ww1, ww0, ww0, ww0, ww1, ww1, ww1, ww1, ww0, ww0, ww0, ww1
ww1, ww0, ww1, ww0, ww0, ww1, ww1, ww0, ww0, ww1, ww0, ww0, ww1, ww0, ww0
ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0
ww0, ww0, ww0, ww0, ww0, ww1, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0, ww0
ww0, ww1, ww1, ww1, ww0, ww0, ww1, ww1, ww1, ww1, ww1, ww0, ww0, ww0, ww1
gw0, gw0, gw0, gw0, gw0, gw0, gw0, gw0, gw0, gw0, gw0, gw0, gw0, gw0, gw0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0
rg0, rg0, rg1, rg0, rg0, rg1, rg0, rg0, rg0, rg0, rg0, rg0, rg0, rg0, rg0
rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1
rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2
rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1
rr3, rr3, rr3, rr3, rr3, rr3, rr3, rr3, rr3, rr3, rr3, rr3, rr3, rr3, rr3
rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1
rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2, rr2
rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1, rr1
gr0, gr0, gr0, gr1, gr0, gr0, gr0, gr0, gr0, gr0, gr0, gr1, gr0, gr0, gr0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg1, gg0
gg0, gg0, gg1, gg0, gg0, gg1, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0, gg0
